City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Atuona,PF,77.32,light rain,-9.8,-139.0333,Villa Enata
18,Hithadhoo,MV,82.22,broken clouds,-0.6,73.0833,Scoop Guest House
22,Trincomalee,LK,80.8,broken clouds,8.5711,81.2335,Welcombe Hotel
23,Mahebourg,MU,82.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
27,Port Blair,IN,78.84,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
29,Touros,BR,81.5,clear sky,-5.1989,-35.4608,INN NEW HORIZON
32,Faanui,PF,80.51,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
34,Saint-Philippe,RE,80.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
41,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
44,Meiktila,MM,75.97,clear sky,20.8667,95.8667,The Floral Breeze Wunzin Hotel
48,Lethem,GY,77.0,scattered clouds,3.3803,-59.7968,Savannah Inn
53,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
59,Kuala Terengganu,MY,78.75,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
62,Port-Gentil,GA,80.64,overcast clouds,-0.7193,8.7815,Fengshui Residence
67,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
68,Toowoomba,AU,79.54,scattered clouds,-27.55,151.9667,Toowoomba Central Plaza Apartment Hotel
69,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
72,Rikitea,PF,78.91,clear sky,-23.1203,-134.9692,People ThankYou
73,Kaeo,NZ,76.32,few clouds,-35.1,173.7833,Bushido Lodge
78,Busselton,AU,87.4,clear sky,-33.65,115.3333,Observatory Guest House
82,Richards Bay,ZA,75.9,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
83,Dingle,PH,85.59,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
87,Meulaboh,ID,84.34,overcast clouds,4.1363,96.1285,Kost Pria
90,Bambous Virieux,MU,82.22,light rain,-20.3428,57.7575,Casa Tia Villa
94,Mount Gambier,AU,76.91,few clouds,-37.8333,140.7667,The Commodore
97,Butaritari,KI,81.3,light rain,3.0707,172.7902,Isles Sunset Lodge
98,Mahibadhoo,MV,81.68,broken clouds,3.7833,72.9667,Omadhoo Inn
101,Ciudad Bolivar,VE,76.93,broken clouds,8.1222,-63.5497,Hotel Edi
105,Auki,SB,78.22,light rain,-8.7676,160.7034,Auki Motel
106,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
107,Bengkulu,ID,84.92,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
109,Biak,ID,82.71,broken clouds,-0.9131,122.8766,Penginapan Kim
112,Lakatoro,VU,85.17,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
115,Georgetown,MY,87.89,few clouds,5.4112,100.3354,Cititel Penang
122,Viedma,AR,77.76,clear sky,-40.8135,-62.9967,Hotel Cristal
123,Bandarbeyla,SO,75.07,overcast clouds,9.4942,50.8122,JABIR HOTEL
129,Mareeba,AU,85.44,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
132,Lazaro Cardenas,MX,75.58,overcast clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
139,Arraial Do Cabo,BR,75.07,clear sky,-22.9661,-42.0278,Pousada Porto Praia
144,Papetoai,PF,80.19,overcast clouds,-17.4961,-149.8729,Fare Vaihere
145,Sibu,MY,84.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
154,Antalaha,MG,75.0,broken clouds,-14.9003,50.2788,Hotel Vitasoa
160,Kavieng,PG,83.68,light rain,-2.5744,150.7967,Nusa Island Retreat
165,Innisfail,AU,86.22,light rain,-17.5333,146.0333,Moondarra Motel
183,Esperance,AU,76.84,broken clouds,-33.8667,121.9,Hospitality Esperance
189,Papara,BR,81.0,few clouds,-3.9839,-38.7273,Bela vista Maranguape
205,Gizo,SB,83.77,light rain,-8.103,156.8419,Imagination Island
206,Waingapu,ID,85.53,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
212,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
214,Tual,ID,80.76,broken clouds,-5.6667,132.75,Grand Vilia Hotel
221,Kapaa,US,78.78,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
223,Vao,NC,80.35,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
228,Puerto Carreno,CO,81.12,broken clouds,6.189,-67.4859,Casa Hotel Victoria
238,Carnarvon,AU,86.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
246,Ambulu,ID,81.68,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
247,Teknaf,BD,75.2,clear sky,20.8624,92.3058,Forestry Guesthouse
267,Itarema,BR,78.82,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
270,Kilindoni,TZ,80.85,overcast clouds,-7.9139,39.6668,Bustani B&B
272,Geraldton,AU,86.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
278,Manggar,ID,84.47,scattered clouds,-2.8833,108.2667,Guest Hotel
279,Puerto Escondido,MX,79.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
281,Souillac,MU,82.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
289,Coolum Beach,AU,77.11,heavy intensity rain,-26.5333,153.1,Coolum Beach Resort
