City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.2906,-156.7887,-27.38,68,0,8.05,clear sky
1,Paros,GR,37.0833,25.15,54.3,66,61,19.57,broken clouds
2,Kaitangata,NZ,-46.2817,169.8464,59.94,72,99,7.29,overcast clouds
3,Aklavik,CA,68.2191,-135.0107,-24.77,97,100,11.74,overcast clouds
4,Atuona,PF,-9.8,-139.0333,77.32,80,20,13.96,light rain
5,Provideniya,RU,64.3833,-173.3,-5.69,65,0,11.18,clear sky
6,Jamestown,US,42.097,-79.2353,15.12,72,100,3.44,overcast clouds
7,Iguape,BR,-24.7081,-47.5553,71.96,93,8,4.81,clear sky
8,Upernavik,GL,72.7868,-56.1549,3.83,92,100,29.15,light snow
9,Nenton,GT,15.8,-91.75,71.76,84,100,4.68,overcast clouds
10,Kita,ML,13.0349,-9.4895,66.87,15,54,5.57,broken clouds
11,Shingu,JP,33.7333,135.9833,49.19,70,100,5.37,overcast clouds
12,Nanortalik,GL,60.1432,-45.2371,18.79,86,100,28.97,snow
13,Ayan,RU,56.45,138.1667,2.93,70,8,0.85,clear sky
14,Tiksi,RU,71.6872,128.8694,-10.59,90,27,9.31,scattered clouds
15,Lasa,IT,46.6166,10.7002,29.66,71,4,1.81,clear sky
16,Punta Arenas,CL,-53.15,-70.9167,42.91,61,20,12.66,few clouds
17,Pisco,PE,-13.7,-76.2167,68.05,77,0,9.22,clear sky
18,Hithadhoo,MV,-0.6,73.0833,82.22,73,64,12.75,broken clouds
19,Albany,US,42.6001,-73.9662,21.15,63,34,7.0,scattered clouds
20,Nueva Loja,EC,0.0847,-76.8828,70.95,96,100,1.23,overcast clouds
21,Saint George,US,37.1041,-113.5841,60.35,23,0,1.01,clear sky
22,Trincomalee,LK,8.5711,81.2335,80.8,68,73,13.29,broken clouds
23,Mahebourg,MU,-20.4081,57.7,82.26,94,75,9.22,broken clouds
24,Biltine,TD,14.5333,20.9167,70.16,13,100,10.58,overcast clouds
25,East London,ZA,-33.0153,27.9116,68.94,100,100,13.8,light rain
26,Mar Del Plata,AR,-38.0023,-57.5575,60.87,78,0,5.01,clear sky
27,Port Blair,IN,11.6667,92.75,78.84,69,20,11.5,few clouds
28,Ushuaia,AR,-54.8,-68.3,40.66,70,40,26.46,scattered clouds
29,Touros,BR,-5.1989,-35.4608,81.5,78,6,10.6,clear sky
30,Port Lincoln,AU,-34.7333,135.8667,72.41,67,15,11.77,few clouds
31,Bilma,NE,18.6853,12.9164,61.52,16,0,6.82,clear sky
32,Faanui,PF,-16.4833,-151.75,80.51,76,100,12.44,light rain
33,Castro,BR,-24.7911,-50.0119,63.82,91,82,1.5,broken clouds
34,Saint-Philippe,RE,-21.3585,55.7679,80.15,80,31,11.05,scattered clouds
35,Jiuquan,CN,39.7432,98.5174,30.72,38,61,6.87,broken clouds
