City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vestmannaeyjar,63.4427,-20.2734,34.72,75,100,31.29,IS,2022-02-14 01:35:06
1,Poronaysk,49.2167,143.1167,16.74,81,44,9.71,RU,2022-02-14 01:35:07
2,Mataura,-46.1927,168.8643,67.48,35,100,2.75,NZ,2022-02-14 01:35:07
3,Ponta Do Sol,32.6667,-17.1,62.06,72,88,1.3,PT,2022-02-14 01:35:08
4,Iqaluit,63.7506,-68.5145,-16.31,68,100,3.0,CA,2022-02-14 01:34:57
5,Norman Wells,65.282,-126.8329,-7.56,71,100,3.44,CA,2022-02-14 01:34:27
6,La Ronge,55.1001,-105.2842,14.25,79,100,6.91,CA,2022-02-14 01:35:09
7,Aracaju,-10.9111,-37.0717,82.35,78,20,13.8,BR,2022-02-14 01:33:23
8,Bredasdorp,-34.5322,20.0403,65.52,72,99,9.22,ZA,2022-02-14 01:35:10
9,Ancud,-41.8697,-73.8203,62.13,95,6,2.26,CL,2022-02-14 01:35:10
10,Laizhou,37.1717,119.9214,28.36,70,100,16.37,CN,2022-02-14 01:35:11
11,Hofn,64.2539,-15.2082,22.73,67,31,9.91,IS,2022-02-14 01:35:11
12,Berdigestyakh,62.0989,126.6992,-18.8,98,97,0.85,RU,2022-02-14 01:35:12
13,Svetlogorsk,52.6333,29.7333,26.15,86,11,10.31,BY,2022-02-14 01:35:12
14,Albany,42.6001,-73.9662,22.17,57,29,4.0,US,2022-02-14 01:35:13
15,Busselton,-33.65,115.3333,79.05,46,0,9.48,AU,2022-02-14 01:35:13
16,Ribeira Grande,38.5167,-28.7,58.08,69,100,3.51,PT,2022-02-14 01:35:14
17,Vaini,-21.2,-175.2,86.16,74,40,9.22,TO,2022-02-14 01:35:14
18,Hermanus,-34.4187,19.2345,68.9,79,80,17.87,ZA,2022-02-14 01:35:15
19,Hobart,-42.8794,147.3294,69.03,68,75,12.66,AU,2022-02-14 01:33:28
20,Castro,-24.7911,-50.0119,65.43,89,97,2.48,BR,2022-02-14 01:35:15
21,Mahebourg,-20.4081,57.7,80.26,94,75,9.22,MU,2022-02-14 01:35:16
22,Pilar,-9.5972,-35.9567,76.93,78,98,7.67,BR,2022-02-14 01:32:48
23,Cape Town,-33.9258,18.4232,69.12,79,20,23.02,ZA,2022-02-14 01:31:14
24,Hilo,19.7297,-155.09,78.53,69,20,8.05,US,2022-02-14 01:33:17
25,Kapaa,22.0752,-159.319,78.78,70,75,17.27,US,2022-02-14 01:34:57
26,Qaanaaq,77.484,-69.3632,-8.28,70,76,6.76,GL,2022-02-14 01:35:17
27,Prince Rupert,54.3161,-130.3201,46.49,76,100,12.66,CA,2022-02-14 01:30:47
28,Ushuaia,-54.8,-68.3,38.86,75,40,34.52,AR,2022-02-14 01:35:14
29,Bin Qirdan,33.1378,11.2197,53.91,83,34,8.61,TN,2022-02-14 01:35:18
